numero,jogador,selecao
3,Joan García,Espanha
4,Cucurella,Espanha
5,Grimaldo,Espanha
6,Cubarsí,Espanha
7,Laporte,Espanha
8,Pubill,Espanha
9,Eric García,Espanha
10,Marcos Llorente,Espanha
11,Pedro Porro,Espanha
12,Pedri,Espanha
13,Fabián Ruíz,Espanha
14,Zubimendi,Espanha
15,Gavi,Espanha
16,Rodri,Espanha
17,Alex Baena,Espanha
18,Merino,Espanha
19,Oyarzabal,Espanha
20,Dani Olmo,Espanha
21,Nico Williams,Espanha
22,Yeremy Pino,Espanha
23,Ferran Torres,Espanha
24,Borja Iglesias,Espanha
25,Víctor Muñoz,Espanha
26,Lamine Yamal,Espanha
1,Craig Gordon,Escócia
2,Angus Gunn,Escócia
3,Liam Kelly,Escócia
4,Grant Hanley,Escócia
5,Jack Hendry,Escócia
6,Aaron Hickey,Escócia
7,Dom Hyam,Escócia
8,Soctt McKenna,Escócia
9,Nathan Patterson,Escócia
10,Anthony Ralston,Escócia
11,Andy Robertson,Escócia
12,John Souttar,Escócia
13,Kieran Tierney,Escócia
14,Ryan Christie,Escócia
15,Findlay Curtis,Escócia
16,Lewis Fergunson,Escócia
17,Ben Gannon-Doak,Escócia
18,Tyler Fletcher,Escócia
19,John McGinn,Escócia
20,Kenny McLean,Escócia
21,Scott McTominay,Escócia
22,Che Adams,Escócia
23,Lyndon Dykes,Escócia
24,George Hirst,Escócia
25,Lawrence Shankland,Escócia
26,Ross Steward,Escócia
1,Chris Brady,Estados Unidos
2,Matt Freese,Estados Unidos
3,Matt Turner,Estados Unidos
4,Alex Freeman,Estados Unidos
5,Antonee Robinson,Estados Unidos
6,Auston Trusty,Estados Unidos
7,Chris Richards,Estados Unidos
8,Mark McKenzie,Estados Unidos
9,Max Arfsten,Estados Unidos
10,Sergiño Dest,Estados Unidos
11,Tim Ream,Estados Unidos
12,Miles Robinson,Estados Unidos
13,Joe Scally,Estados Unidos
14,Sergiño Dest,Estados Unidos
15,Brenden Aaronson,Estados Unidos
16,Cristian Roldan,Estados Unidos
17,Gio Reyna,Estados Unidos
18,Malik Tillman,Estados Unidos
19,Tyler Adams,Estados Unidos
20,Weston McKennie,Estados Unidos
21,Alex Zendejas,Estados Unidos
22,Christian Pulisic,Estados Unidos
23,Folarin Balogun,Estados Unidos
24,Haji Wright,Estados Unidos
25,Ricardo Pepi,Estados Unidos
26,Tim Weah,Estados Unidos
1,Mike Maignan,França
2,Robin Risser,França
3,Brice Samba,França
4,Lucas Digne,França
5,Malo Gusto,França
6,Lucas Hernández,França
7,Theo Hernandez,França
8,Ibrahima Konaté,França
9,Jules Koundé,França
10,Maxence Lacroix,França
11,William Saliba,França
12,Dayot Upamecano,França
13,N'Golo Kanté,França
14,Manu Koné,França
15,Adrien Rabiot,França
16,Aurélien Tchouaméni,França
17,Warren Zaïre-Emery,França
18,Maghnes Akliouche,França
19,Bradley Barcola,França
20,Rayan Cherki,França
21,Ousmane Dembélé,França
22,Désiré Doué,França
23,Jean-Philippe Mateta,França
24,Kylian Mbappé,França
25,Michael Olise,França
26,Marcus Thuram,França
1,Benjamin Asare,Gana
2,Lawrence Ati-Zigi,Gana
3,Joseph Anang,Gana
4,Baba Abdul Rahman,Gana
5,Gideoh Mensah,Gana
6,Marvin Senaya,Gana
7,Alidu Seidu,Gana
8,Abdul Mumin,Gana
9,Jerome Opoku,Gana
10,Jonas Adjetey,Gana
11,Kojo Oppong Peprah,Gana
12,Derrick Luckassen,Gana
13,Elisha Owusu,Gana
14,Thomas Partey,Gana
15,Kwasi Sibo,Gana
16,Augustine Boakye,Gana
17,Caleb Yirenkyi,Gana
18,Abdul Fatawu Issahaku,Gana
19,Christopher Bonsu Baah,Gana
20,Ernest Nuamah,Gana
21,Antoine Semenyo,Gana
22,Brandon Thomas-Asante,Gana
23,Kamal Deen Sulemana,Gana
24,Prince Kwabena Adu,Gana
25,Iñaki Williams,Gana
26,Jordan Ayew,Gana
1,Johnny Placide,Haiti
2,Alexandre Pierre,Haiti
3,Josué Duverger,Haiti
4,Carlens Arcus,Haiti
5,Garven-Michée Metusala,Haiti
6,Wilguens Pauguain,Haiti
7,Duke Lacroix,Haiti
8,Martin Experience,Haiti
9,JK Duverne,Haiti
10,Ricardo Ade,Haiti
11,Hannes Delcroix,Haiti
12,Keeto Thermoncy,Haiti
13,Carl-Fred Sainthe,Haiti
14,Jean-Jacques Danley,Haiti
15,Jeanricner Bellegarde,Haiti
16,Pierre Woodenski,Haiti
17,Dominique Simon,Haiti
18,Louicius Deedson,Haiti
19,Ruben Providence,Haiti
20,Josué Casimir,Haiti
21,Derrick Etienne,Haiti
22,Wilson Isidor,Haiti
23,Duckens Nazon,Haiti
24,Frantzdy Pierrot,Haiti
25,Yassin Fortune,Haiti
26,Lenny Joseph,Haiti
1,Mark Flekken,Holanda
2,Robin Roefs,Holanda
3,Bart Verbruggen,Holanda
4,Nathan Aké,Holanda
5,Virgil van Dijk,Holanda
6,Denzel Dumfries,Holanda
7,Jorrel Hato,Holanda
8,Jan Paul van Hecke,Holanda
9,Lutsharel Geertruida,Holanda
10,Micky van de Ven,Holanda
11,Ryan Gravenberch,Holanda
12,Frenkie de Jong,Holanda
13,Teun Koopmeiners,Holanda
14,Tijjani Reijnders,Holanda
15,Marten de Roon,Holanda
16,Guus Til,Holanda
17,Quinten Timber,Holanda
18,Mats Wieffer,Holanda
19,Memphis Depay,Holanda
20,Brian Brobbey,Holanda
21,Cody Gakpo,Holanda
22,Justin Kluivert,Holanda
23,Noa Lang,Holanda
24,Donyell Malen,Holanda
25,Crysencio Summerville,Holanda
26,Wout Weghorst,Holanda
1,Jordan Pickford,Inglaterra
2,Dean Henderson,Inglaterra
3,James Trafford,Inglaterra
4,Reece James,Inglaterra
5,Ezri Konsa,Inglaterra
6,Jarell Quansah,Inglaterra
7,John Stones,Inglaterra
8,Marc Guehi,Inglaterra
9,Dan Burn,Inglaterra
10,Nico O'Reilly,Inglaterra
11,Djed Spence,Inglaterra
12,Chalobah,Inglaterra
13,Declan Rice,Inglaterra
14,Elliot Anderson,Inglaterra
15,Kobbie Mainoo,Inglaterra
16,Jordan Henderson,Inglaterra
17,Morgan Rogers,Inglaterra
18,Jude Bellingham,Inglaterra
19,Eberechi Eze,Inglaterra
20,Harry Kane,Inglaterra
21,Ivan Toney,Inglaterra
22,Ollie Watkins,Inglaterra
23,Bukayo Saka,Inglaterra
24,Marcus Rashford,Inglaterra
25,Anthony Gordon,Inglaterra
26,Noni Madueke,Inglaterra
1,Alireza Beiranvand,Irã
2,Seyed Hossein Hosseini,Irã
3,Payam Niazmand,Irã
4,Danial Eiri,Irã
5,Ehsan Hajsafi,Irã
6,Saleh Hardani,Irã
7,Hossein Kanaani,Irã
